1. Edad;2. Sexo;3. ¿En qué Localidad vive?;4. Los recibos de servicios públicos que recibe en su hogar, corresponden a: ;Primera respuesta seleccionada;Segunda respuesta seleccionada;Tercera respuesta seleccionada;;;;;;;
60 o más;Masculino;Engativá;Estrato 3;El deterioro ambiental;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
60 o más;Femenino;Suba;Estrato 5;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
45 a 59 años;Femenino;Suba;Estrato 4;El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;;;;;;
45 a 59 años;Femenino;Suba;Estrato 5;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;;
30 a 44 años;Masculino;Usaquén;Estrato 4;La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;
30 a 44 años;Femenino;Suba;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;;;;;;;
45 a 59 años;Masculino;Rafael Uribe Uribe;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, D;;;;;;;
14 a 17 años;Femenino;Usme;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;;
30 a 44 años;Masculino;Suba;Estrato 3;El incremento de las tarifas del servicio público de aseo;, Canecas especiales para materia orgánica de mascotas;;;;;;;;
30 a 44 años;Femenino;Los Mártires;Estrato 3;La basura tirada en la calle;;;;;;;;;
30 a 44 años;Femenino;Tunjuelito;Estrato 2;Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, Los horarios y frecuencias de recolección de basuras;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;
45 a 59 años;Femenino;Teusaquillo;Estrato 4;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
30 a 44 años;Femenino;Kennedy;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;;
30 a 44 años;Femenino;Teusaquillo;Estrato 5;El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;;;;
30 a 44 años;Femenino;Engativá;Estrato 3;El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
30 a 44 años;Masculino;Teusaquillo;Estrato 5;Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;;;;;;
60 o más;Femenino;Engativá;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;;;;;;;
60 o más;Femenino;Tunjuelito;Estrato 2;Los horarios y frecuencias de recolección de basuras;, La basura tirada en la calle;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, El incremento de las tarifas del servicio público de aseo;
60 o más;Femenino;Santa Fe;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;;;;;;;
60 o más;Femenino;Rafael Uribe Uribe;Estrato 3;El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;;;;
60 o más;Femenino;Usaquén;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Popo de perro en la calle;;;;;;;
45 a 59 años;Femenino;Suba;Estrato 5;El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;;;
45 a 59 años;Femenino;Suba;Estrato 5;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;;;;;;;
60 o más;Femenino;Santa Fe;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;;;;;;;
18 a 29 años;Femenino;Engativá;Estrato 2;Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, El deterioro ambiental;;;;
30 a 44 años;Masculino;Suba;Estrato 5;La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;;;;;;;;
60 o más;Femenino;Suba;Estrato 4;Poca generación de nuevos empleos en torno al tema del manejo de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Los horarios y frecuencias de recolección de basuras;;;;;
60 o más;Femenino;Ciudad Bolívar;Estrato 1;El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Todos los anteriores;;;;;;
30 a 44 años;Femenino;Usaquén;Estrato 4;El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;;;
45 a 59 años;Femenino;Teusaquillo;Estrato 4;La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
60 o más;Femenino;Usaquén;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;;;;;;;
45 a 59 años;Femenino;Tunjuelito;Estrato 2;La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
14 a 17 años, 30 a 44 años;Femenino;Suba;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;;;
45 a 59 años;Masculino;Kennedy;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La no aplicacion de medidas correctivas por parte de la autoridad competente  frente a la disposicion final de residuos de construcción ;;la falta de sentido de pertenencia por los territorios en las comunidades ,la apatía y falta de conciencia ambiental;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 4;Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los recicladores hacen muy mal el trabajo; Deberían industrializarlo; ;;;;;
45 a 59 años;Femenino;Engativá;Estrato 2;El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
30 a 44 años;Femenino;Usaquén;Estrato 3;Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;;;;;;
18 a 29 años;Femenino;Suba;Estrato 5;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
30 a 44 años;Femenino;Fontibón;Estrato 4;El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;;;
45 a 59 años;Femenino;Suba;Estrato 5;El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;;;;;
45 a 59 años;Masculino;Teusaquillo;Estrato 4;El incremento de las tarifas del servicio público de aseo;, Los horarios y frecuencias de recolección de basuras;;;;;;;;
45 a 59 años;Femenino;Rafael Uribe Uribe;Estrato 2;El incremento de las tarifas del servicio público de aseo;;;;;;;;;
45 a 59 años;Intersexual;Antonio Nariño;Estrato 3;Los malos olores, ratones y focos de enfermedades;;;;;;;;;
30 a 44 años;Femenino;Bosa;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;;;;;;;;
60 o más;Masculino;Engativá;Estrato 3;Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;;;;;;;
45 a 59 años;Femenino;Teusaquillo;Estrato 5;El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Las personas no tienen clara la importancia de la separación desde la fuente y tampoco es clara la disposición final de los residuos, para quienes separamos desde casa; ;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 2;El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Femenino;Teusaquillo;Estrato 4;El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 5;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;;;;;;;
30 a 44 años;Masculino;Fontibón;Estrato 3;Los malos olores, ratones y focos de enfermedades;, Los horarios y frecuencias de recolección de basuras;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 2;La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;;;;;;
30 a 44 años;Masculino;Santa Fe;Estrato 4;La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 1;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
60 o más;Femenino;Rafael Uribe Uribe;Estrato 3;El incremento de las tarifas del servicio público de aseo;, Más atención en las principales avenidas avenidas son un desastre ambiental;;;;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;
60 o más;Masculino;Teusaquillo;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, Los horarios y frecuencias de recolección de basuras;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;
60 o más;Femenino;Bosa;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Masculino;Engativá;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, El deterioro ambiental;;;;;;
30 a 44 años;Femenino;Teusaquillo;Estrato 5;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
18 a 29 años;Femenino;Tunjuelito;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 1;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;;;;;
60 o más;Masculino;Ciudad Bolívar;Estrato 2;El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
18 a 29 años;Femenino;Engativá;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;;;;;;
60 o más;Femenino;Usaquén;Estrato 4;La inseguridad que se genera en entornos llenos de basuras;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, El deterioro ambiental;, La falta de personal y la rotación de los mismos;;;;;
60 o más;Masculino;Ciudad Bolívar;Estrato 2;Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;
60 o más;Masculino;Kennedy;Estrato 2;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;, Los horarios y frecuencias de recolección de basuras;, Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;
60 o más;Femenino;Teusaquillo;Estrato 5;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 1;La basura tirada en la calle;;;;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;;
45 a 59 años;Femenino;Rafael Uribe Uribe;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 1;Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 1;La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;;;;;;;
45 a 59 años;Femenino;Tunjuelito;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;
18 a 29 años;Femenino;Ciudad Bolívar;Estrato 1;La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;;;;;;;
30 a 44 años;Femenino;San Cristóbal;Estrato 2;El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
60 o más;Femenino;Ciudad Bolívar;Estrato 2;La basura tirada en la calle;;;;;;;;;
45 a 59 años;Femenino;Teusaquillo;Estrato 4;La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, Los contenedores y canecas para disposición de basuras;;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 2;La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 1;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;;;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 2;Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;
30 a 44 años;Femenino;Fontibón;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 2;Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los dueños de mascotas no recogen los excrementos  así ;;;;;;
30 a 44 años;Femenino;Santa Fe;Estrato 4;La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;
30 a 44 años;Femenino;Engativá;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;;;;;;;
18 a 29 años;Masculino;Suba;Estrato 3;Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;;;;;;;
45 a 59 años;Femenino;Chapinero;Estrato 6;El deterioro ambiental;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 1;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 2;Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;;;;;;
60 o más;Masculino;Fontibón;Estrato 3;Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;;;;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 2;El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
45 a 59 años;Masculino;Ciudad Bolívar;Estrato 2;Los malos olores, ratones y focos de enfermedades;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;;;
45 a 59 años;Femenino;Kennedy;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;;;;;;
18 a 29 años;Femenino;Ciudad Bolívar;Estrato 1;Los horarios y frecuencias de recolección de basuras;, Los malos olores, ratones y focos de enfermedades;, Los contenedores y canecas para disposición de basuras;;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 2;La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Eses de mascotas;;eses abitantes de calle ;;
45 a 59 años;Masculino;Ciudad Bolívar;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;;;;;;
30 a 44 años;Femenino;Usaquén;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;;;;;;
18 a 29 años;Femenino;Ciudad Bolívar;Estrato 1;Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Los horarios y frecuencias de recolección de basuras;;;
45 a 59 años;Masculino;Teusaquillo;Estrato 4;La basura tirada en la calle;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Masculino;Ciudad Bolívar;Estrato 1;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;;;;;;;
45 a 59 años;Femenino;San Cristóbal;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los horarios y frecuencias de recolección de basuras;, El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;;;;;
60 o más;Femenino;Ciudad Bolívar;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, ;;;
60 o más;Masculino;Suba;Estrato 5;Los malos olores, ratones y focos de enfermedades;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, El deterioro ambiental;, Los horarios y frecuencias de recolección de basuras;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;
60 o más;Masculino;Usaquén;Estrato 4;Los malos olores, ratones y focos de enfermedades;;;;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 1;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
45 a 59 años;Masculino;Puente Aranda;Estrato 3;La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, El incremento de las tarifas del servicio público de aseo;, Antes los que barrían las calles hacían una excelente servicio ahora ni se ven y lo mismo papeles en lis parques y falta seguir a los que vierten escombros en la callen;;;;;;
45 a 59 años;Femenino;Suba;Estrato 5;La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 1;La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
60 o más;Masculino;Usaquén;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, La gente que saca comida para según ellos animales de la calle y en realidad es para alimentar ratas y demás  rodeoresroedores ;;;;;;
45 a 59 años;Femenino;Usme;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, Falta de apoyo institucional para aplicar las sanciones efectivas, señalización ;;;;;
30 a 44 años;Masculino;Suba;Estrato 5;Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;;;;;
30 a 44 años;Femenino;Rafael Uribe Uribe;Estrato 1;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;;
30 a 44 años;Femenino;Kennedy;Estrato 3;El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;;;;
60 o más;Masculino;Usaquén;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;;;
45 a 59 años;Femenino;Kennedy;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;;
30 a 44 años;Masculino;Bosa;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;
60 o más;Femenino;Fontibón;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;;
60 o más;Masculino;Ciudad Bolívar;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;;;;;;;
60 o más;Masculino;Suba;Estrato 5;El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, La basura tirada en la calle;, El desecho final de las basuras de la ciudad;;;;;;
45 a 59 años;Femenino;Engativá;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;;;;;;;
45 a 59 años;Femenino;Teusaquillo;Estrato 4;Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Femenino;Kennedy;Estrato 3;La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
30 a 44 años;Masculino;Usaquén;Estrato 4;La basura tirada en la calle;;;;;;;;;
60 o más;Masculino;Suba;Estrato 5;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, Los recicladores, quienes los usan para su trabajo; ;;;;;;
60 o más;Femenino;Kennedy;Estrato 3;El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;
45 a 59 años;Femenino;Ciudad Bolívar;Estrato 1;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, El deterioro ambiental;;;;;;
45 a 59 años;Masculino;Kennedy;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, Los horarios y frecuencias de recolección de basuras;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;;
45 a 59 años;Femenino;Teusaquillo;Estrato 4;La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, Los horarios y frecuencias de recolección de basuras;, Los operarios no realizan un correcto barrido de la basura lo hacen de manera deficiente dejando restos   dan la impresión de no recibir instrucción para real8zar un varrido total y que la ciudad wea vea limpia es notorio la alta cantidad de basura ;;;;
45 a 59 años;Femenino;Bosa;Estrato 2;La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, El incremento de las tarifas del servicio público de aseo;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, Los contenedores y canecas para disposición de basuras;;;
60 o más;Masculino;Teusaquillo;Estrato 3;Los malos olores, ratones y focos de enfermedades;;;;;;;;;
